2DPathTrajectory
x	y
1.02161	-0.448272
1.02161	-0.448274
1.02161	-0.448277
1.02161	-0.448275
1.0216	-0.448277
1.0216	-0.448279
1.0216	-0.448277
1.02159	-0.448279
1.02159	-0.448279
1.02159	-0.448281
1.02159	-0.44828
1.02158	-0.448281
1.02158	-0.448281
1.02158	-0.448281
1.02158	-0.448282
1.02158	-0.448284
1.02157	-0.448284
1.02157	-0.448286
1.02156	-0.448289
1.02156	-0.448287
1.02156	-0.448288
1.02156	-0.448287
1.02155	-0.448292
1.02155	-0.448291
1.02155	-0.448291
1.02154	-0.448293
1.02154	-0.448296
1.02153	-0.448299
1.02153	-0.448297
1.02153	-0.448292
1.02152	-0.448295
1.02153	-0.448291
1.02152	-0.448292
1.02152	-0.448291
1.02152	-0.448293
1.02152	-0.448293
1.02152	-0.448291
1.02151	-0.448295
1.02151	-0.448294
1.0215	-0.448297
1.0215	-0.448296
1.0215	-0.448295
1.02149	-0.448298
1.02149	-0.448301
1.02148	-0.448299
1.02147	-0.448303
1.02147	-0.448303
1.02147	-0.448304
1.02147	-0.448302
1.02146	-0.448306
1.02146	-0.448308
1.02145	-0.448308
1.02145	-0.448308
1.02144	-0.448311
1.02144	-0.448313
1.02144	-0.448311
1.02144	-0.448311
1.02144	-0.448307
1.02262	-0.449483
1.02386	-0.450934
1.0265	-0.452183
1.02699	-0.452889
1.02692	-0.452687
1.02692	-0.452656
1.02696	-0.4527
1.02696	-0.452722
1.02696	-0.452722
1.02696	-0.452718
1.02695	-0.452723
1.02695	-0.452727
1.02694	-0.452734
1.02694	-0.452741
1.02694	-0.452745
1.02693	-0.452755
1.02693	-0.452752
1.02693	-0.452758
1.02693	-0.452755
1.02693	-0.452765
1.02692	-0.452771
1.02692	-0.452776
1.02692	-0.452778
1.02692	-0.452785
1.02691	-0.452789
1.02691	-0.45279
1.02691	-0.45279
1.02691	-0.452798
1.02691	-0.452799
1.02691	-0.452802
1.02691	-0.452803
1.02691	-0.452809
1.0269	-0.452803
1.0269	-0.452811
1.0269	-0.452812
1.0269	-0.452816
1.02689	-0.452828
1.02689	-0.452826
1.02689	-0.452833
1.02689	-0.452839
1.02689	-0.452842
1.02688	-0.452849
1.02688	-0.45285
1.02688	-0.452854
1.02688	-0.452855
1.02688	-0.452855
1.02687	-0.452864
1.02687	-0.452862
1.02687	-0.452863
1.02687	-0.452867
1.02687	-0.452868
1.02687	-0.452873
1.02687	-0.452878
1.02686	-0.452883
1.02686	-0.452884
1.02686	-0.452889
1.02686	-0.452891
1.02686	-0.452898
1.02685	-0.452901
1.02685	-0.452906
1.02685	-0.452911
1.02684	-0.452918
1.02684	-0.452923
1.02684	-0.452927
1.02683	-0.45293
1.02683	-0.452928
1.02683	-0.452934
1.02683	-0.452942
1.02683	-0.452939
1.02683	-0.452943
1.02682	-0.452949
1.02682	-0.452951
1.02682	-0.452956
1.02682	-0.452962
1.02682	-0.452964
1.02682	-0.452964
1.02681	-0.452967
1.02681	-0.45297
1.02681	-0.452975
1.0268	-0.452988
1.0268	-0.45298
1.0268	-0.452989
1.0268	-0.452992
1.02679	-0.452998
1.02679	-0.453002
1.02679	-0.453005
1.02679	-0.453005
1.02679	-0.45301
1.02679	-0.453014
1.02678	-0.453014
1.02678	-0.453018
1.02678	-0.453022
1.02678	-0.453021
1.02678	-0.453023
1.02678	-0.453026
1.02678	-0.453032
1.02677	-0.453036
1.02677	-0.453044
1.02677	-0.453045
1.02677	-0.453049
1.02677	-0.453054
1.02676	-0.453055
1.02676	-0.453056
1.02676	-0.453059
1.02676	-0.453066
1.02676	-0.453068
1.02675	-0.453072
1.02675	-0.453079
1.02675	-0.453082
1.02675	-0.453085
1.02675	-0.453088
1.02675	-0.45309
1.02674	-0.453093
1.02674	-0.453091
1.02674	-0.45309
1.02674	-0.453093
1.02674	-0.453095
1.02674	-0.453101
1.02674	-0.453101
1.02674	-0.453102
1.02674	-0.453103
1.02673	-0.453106
1.02673	-0.453111
1.02673	-0.453114
1.02673	-0.453113
1.02673	-0.453113
1.02673	-0.453117
1.02673	-0.453123
1.02673	-0.453126
1.02672	-0.453126
1.02672	-0.453128
1.02672	-0.45313
1.02672	-0.453135
1.02672	-0.45314
1.02672	-0.453136
1.02672	-0.453139
1.02672	-0.453139
1.02671	-0.453142
1.02671	-0.453147
1.02671	-0.453151
1.02671	-0.453153
1.02671	-0.453158
1.0267	-0.453165
1.0267	-0.453166
1.0267	-0.453168
1.0267	-0.453175
1.0267	-0.453169
1.0267	-0.453176
1.0267	-0.453179
1.02669	-0.453185
1.02669	-0.453187
1.02669	-0.453189
1.02669	-0.453189
1.02669	-0.453191
1.02669	-0.453191
1.02668	-0.453202
1.02668	-0.453205
1.02668	-0.453212
1.02668	-0.453211
1.02668	-0.453214
1.02668	-0.45322
1.02667	-0.453222
1.02667	-0.453223
1.02667	-0.453226
1.02667	-0.453227
1.02667	-0.453232
1.02666	-0.453236
1.02666	-0.45324
1.02666	-0.453243
1.02666	-0.453247
1.02666	-0.453244
1.02666	-0.453246
1.02666	-0.453251
1.02665	-0.453262
1.02665	-0.45326
1.02665	-0.453263
1.02665	-0.453263
1.02665	-0.453268
1.02665	-0.453266
1.02664	-0.453272
1.02664	-0.45328
1.02664	-0.453286
1.02664	-0.453287
1.02663	-0.453287
1.02663	-0.453277
1.02663	-0.453277
1.02663	-0.453287
1.02663	-0.453289
1.02663	-0.45329
1.02662	-0.453297
1.02662	-0.453298
1.02662	-0.453301
1.02662	-0.453303
1.02662	-0.453309
1.02662	-0.45331
1.02661	-0.45331
1.02661	-0.453306
1.02661	-0.453314
1.02661	-0.453318
1.02661	-0.453317
1.02661	-0.45332
1.02661	-0.453328
1.02661	-0.453327
1.0266	-0.453327
1.0266	-0.453335
1.0266	-0.453337
1.0266	-0.453333
1.0266	-0.45334
1.0266	-0.453343
1.0266	-0.453343
1.02659	-0.453348
1.02659	-0.453347
1.02659	-0.453359
1.02659	-0.453357
1.02658	-0.453365
1.02658	-0.453363
1.02658	-0.45336
1.02658	-0.453367
1.02658	-0.453367
1.02658	-0.453372
1.02658	-0.45338
1.02658	-0.453378
1.02657	-0.453381
